name,wallclock_min,n_epochs_run,cfg__n_top_hvgs,cfg__n_latent,cfg__n_hidden,cfg__gene_likelihood,cfg__cat,cfg__cont,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total,stale
cov_age_sample,10.469137434164683,100.0,2000.0,30.0,256.0,nb,"['age_group', 'sample_id']",[],0.57556075,0.2872423438859807,0.1684838567637206,0.5048432,0.91951007,0.90617365,0.101825595,0.7761601274741173,0.6043249108434706,0.5971210550162561,0.4911280632019043,0.533525259927645,False
cov_sampleid,10.609432164827982,100.0,2000.0,30.0,256.0,nb,['sample_id'],[],0.571497,0.2683989218137415,0.1624496058729298,0.5044334,0.9199457,0.91552943,0.10121858,0.7770566472090255,0.5703769206971612,0.5910453798534387,0.4853449344635009,0.5276251126194761,False
cov_age_gut,10.566764084498088,100.0,2000.0,30.0,256.0,nb,"['age_group', 'gut_region']",[],0.59083325,0.2736623603961226,0.1642939062871937,0.5015239,0.93643206,0.8933249,0.017252326,0.8119020395262605,0.4580329618251688,0.5451280597393694,0.4933491230010986,0.5140606976964069,False
cov_age,10.436801966031393,100.0,2000.0,30.0,256.0,nb,['age_group'],[],0.5932644,0.2509795544889296,0.1574012180763299,0.5038623,0.9388203,0.87295884,0.01340431,0.8090615584599473,0.4378825782678026,0.533326821354255,0.4888655662536621,0.5066500682938992,False
cov_gutregion,10.434318582216898,100.0,2000.0,30.0,256.0,nb,['gut_region'],[],0.5995458,0.2219695923724478,0.1310418093848109,0.49941236,0.94317067,0.8760469,0.0027899742,0.7840603671450022,0.4323228988660758,0.5238050340511399,0.479028034210205,0.496938834146579,False
hvg1000,9.660828880469005,100.0,1000.0,30.0,256.0,nb,[],[],0.5979812,0.2384526150212023,0.1495733353098267,0.50094545,0.9409048,0.86165744,0.00387156,0.7602424049245605,0.4254355726116681,0.5128017445738383,0.4855714797973632,0.4964635857079533,False
zinb,11.080490362644195,100.0,2000.0,30.0,256.0,zinb,[],[],0.59895515,0.2294934869196984,0.1455205192846409,0.49818656,0.94586897,0.87350726,0.0026123524,0.7433187009680473,0.4366493792423411,0.5140219234644623,0.4836049079895019,0.495771714179486,False
hvg1500,9.988463552792867,100.0,1500.0,30.0,256.0,nb,[],[],0.59894055,0.2233492574312548,0.1312690199118023,0.50179243,0.9421934,0.8556993,0.0015653372,0.7709844813060159,0.38996166107658,0.5045526950824196,0.4795089721679687,0.4895264613337491,False
hvg3000,10.629715931415557,100.0,3000.0,30.0,256.0,nb,[],[],0.60130006,0.2364339212163046,0.1273814540325363,0.49851224,0.9493305,0.8476649,2.9802322e-07,0.7170686598395235,0.1814845060037195,0.4365545891349898,0.4825916290283203,0.4641768130709881,False
hidden128,9.962800216674804,100.0,2000.0,30.0,128.0,nb,[],[],0.61629695,0.1636423691556213,0.0852410816578203,0.50142384,0.95001984,0.8255932,2.3841858e-07,0.7508883904671432,0.2253834216127343,0.4504663060005831,0.4633248329162597,0.4581814221499891,False
cov_totalcounts,10.520428085327149,100.0,2000.0,30.0,256.0,nb,[],['total_counts'],0.62331563,0.2643016051065841,0.1462894259363596,0.45655236,0.96010816,0.72718716,0.0070888996,0.7613512993475386,0.0740069673866706,0.3924085807559705,0.4901134490966797,0.4510315017603959,False
baseline,0.0002019842465718587,,2000.0,30.0,256.0,nb,[],[],0.58102083,0.2787364826000099,0.0981460248637149,0.50469756,0.9720724,0.8095081,0.16767013,0.5445872034520328,0.0,0.3804413548581407,0.4869346618652344,0.4443373390623969,True
latent50,1.3669331868489583e-06,,2000.0,50.0,256.0,nb,[],[],0.5620955,0.2762281422809206,0.0997742121587903,0.50468314,0.9714784,0.82884216,0.17114139,0.5307912954246141,0.0,0.382693711135664,0.4828518867492676,0.4427886165038261,True
latent15,10.100907997290294,100.0,2000.0,15.0,256.0,nb,[],[],0.62007004,0.2159543324015401,0.1224835806862643,0.48192763,0.95283496,0.7785973,2.9802322e-07,0.7635368472521444,0.0,0.3855336101399099,0.4786540985107422,0.4414059031624092,False
baseline_uncorrected,5.703757917881012,,,,,,[],[],0.6465741,0.2701287830982616,0.151730321889865,0.49990672,0.9602847,0.60829705,5.9604645e-08,0.7190814090728486,0.0,0.3318446296691826,0.5057249069213867,0.436172796020505,False
