name,n_cells,n_genes,n_epochs_run,wallclock_min,device,config__name,config__n_top_hvgs,config__n_latent,config__n_hidden,config__gene_likelihood,config__categorical_covariate_keys,config__continuous_covariate_keys,scib__Isolated labels,scib__KMeans NMI,scib__KMeans ARI,scib__Silhouette label,scib__cLISI,scib__BRAS,scib__iLISI,scib__Graph connectivity,scib__PCR comparison,scib__Batch correction,scib__Bio conservation,scib__Total
baseline,117208,3000,,0.0002019842465718587,mps,baseline,2000,30,256,nb,[],[],0.5810208320617676,0.2787364826000099,0.09814602486371493,0.5046975612640381,0.972072422504425,0.8095080852508545,0.1676701307296753,0.5445872034520328,0.0,0.3804413548581407,0.4869346618652344,0.4443373390623969
cov_totalcounts,102460,2000,100.0,10.520428085327149,mps,cov_totalcounts,2000,30,256,nb,[],['total_counts'],0.6233156323432922,0.2643016051065841,0.14628942593635968,0.4565523564815521,0.9601081609725952,0.7271871566772461,0.007088899612426758,0.7613512993475386,0.07400696738667062,0.3924085807559705,0.4901134490966797,0.45103150176039597
cov_age,102460,2000,100.0,10.436801966031393,mps,cov_age,2000,30,256,nb,['age_group'],[],0.5932644009590149,0.25097955448892967,0.15740121807632995,0.5038623213768005,0.9388203024864197,0.8729588389396667,0.013404309749603271,0.8090615584599473,0.43788257826780264,0.533326821354255,0.4888655662536621,0.5066500682938992
cov_gutregion,102460,2000,100.0,10.434318582216898,mps,cov_gutregion,2000,30,256,nb,['gut_region'],[],0.5995457768440247,0.22196959237244782,0.13104180938481091,0.4994123578071594,0.9431706666946411,0.876046895980835,0.0027899742126464844,0.7840603671450022,0.4323228988660758,0.5238050340511399,0.47902803421020507,0.496938834146579
cov_sampleid,102460,2000,100.0,10.609432164827982,mps,cov_sampleid,2000,30,256,nb,['sample_id'],[],0.5714970231056213,0.26839892181374153,0.16244960587292984,0.5044333934783936,0.9199457168579102,0.9155294299125671,0.101218581199646,0.7770566472090255,0.5703769206971612,0.5910453798534387,0.48534493446350097,0.5276251126194761
cov_age_gut,102460,2000,100.0,10.566764084498088,mps,cov_age_gut,2000,30,256,nb,"['age_group', 'gut_region']",[],0.5908332467079163,0.27366236039612263,0.16429390628719376,0.5015239119529724,0.9364320635795593,0.8933249115943909,0.017252326011657715,0.8119020395262605,0.4580329618251688,0.5451280597393694,0.4933491230010986,0.5140606976964069
cov_age_sample,102460,2000,100.0,10.469137434164683,mps,cov_age_sample,2000,30,256,nb,"['age_group', 'sample_id']",[],0.5755607485771179,0.28724234388598074,0.1684838567637206,0.5048431754112244,0.9195100665092468,0.9061736464500427,0.10182559490203857,0.7761601274741173,0.6043249108434706,0.5971210550162561,0.4911280632019043,0.533525259927645
hvg1000,102460,1000,100.0,9.660828880469005,mps,hvg1000,1000,30,256,nb,[],[],0.5979812145233154,0.23845261502120238,0.14957333530982678,0.5009454488754272,0.9409047961235046,0.861657440662384,0.0038715600967407227,0.7602424049245605,0.42543557261166814,0.5128017445738383,0.48557147979736326,0.4964635857079533
hvg1500,102460,1500,100.0,9.988463552792867,mps,hvg1500,1500,30,256,nb,[],[],0.5989405512809753,0.22334925743125486,0.13126901991180237,0.5017924308776855,0.9421933889389038,0.8556993007659912,0.0015653371810913086,0.7709844813060159,0.38996166107658004,0.5045526950824196,0.47950897216796873,0.4895264613337491
hvg3000,102460,3000,100.0,10.629715931415557,mps,hvg3000,3000,30,256,nb,[],[],0.601300060749054,0.2364339212163046,0.12738145403253634,0.49851223826408386,0.9493305087089539,0.8476648926734924,2.980232238769531e-07,0.7170686598395235,0.18148450600371951,0.43655458913498985,0.4825916290283203,0.4641768130709881
latent15,102460,2000,100.0,10.100907997290294,mps,latent15,2000,15,256,nb,[],[],0.6200700402259827,0.21595433240154016,0.12248358068626439,0.48192763328552246,0.952834963798523,0.7785972952842712,2.980232238769531e-07,0.7635368472521444,0.0,0.3855336101399099,0.4786540985107422,0.44140590316240924
latent50,117208,3000,,1.3669331868489583e-06,mps,latent50,2000,50,256,nb,[],[],0.5620955228805542,0.2762281422809206,0.09977421215879033,0.5046831369400024,0.9714784026145935,0.8288421630859375,0.1711413860321045,0.5307912954246141,0.0,0.382693711135664,0.4828518867492676,0.44278861650382617
hidden128,102460,2000,100.0,9.962800216674804,mps,hidden128,2000,30,128,nb,[],[],0.6162969470024109,0.16364236915562133,0.08524108165782038,0.5014238357543945,0.9500198364257812,0.8255931735038757,2.384185791015625e-07,0.7508883904671432,0.22538342161273436,0.4504663060005831,0.46332483291625975,0.4581814221499891
zinb,102460,2000,100.0,11.080490362644195,mps,zinb,2000,30,256,zinb,[],[],0.5989551544189453,0.22949348691969843,0.14552051928464094,0.49818655848503113,0.945868968963623,0.8735072612762451,0.0026123523712158203,0.7433187009680473,0.43664937924234115,0.5140219234644623,0.48360490798950195,0.49577171417948607
