group,n,centroid_dist,boot_mean,boot_ci_lo,boot_ci_hi,median_cell_dist
Stem cells,201,2.628705,2.635953664779663,2.5019216537475586,2.781944990158081,3.44657039642334
fetal_2tri_stem_cells,3601,2.7067008,2.706439733505249,2.683115243911743,2.732780933380127,3.7487547397613525
fetal_1tri_stem_cells,3707,2.898115,2.8988654613494873,2.8753862380981445,2.9215776920318604,3.8220179080963135
enteroid_stem_cells,3439,2.9877367,2.9884536266326904,2.966998815536499,3.011493444442749,3.8022587299346924
adult_stem_cells,2535,3.5662344,3.5661492347717285,3.5552072525024414,3.57645320892334,3.7871592044830322
Proximal progenitor,26253,3.959863,3.959789752960205,3.9532508850097656,3.9662485122680664,4.564109802246094
Distal progenitor,249,3.9636307,3.9714202880859375,3.906342029571533,4.047329902648926,4.658405303955078
TA,17730,4.7640214,4.7637763023376465,4.750408172607422,4.777412414550781,5.580874919891357
Enterocyte,28523,4.83719,4.836795330047607,4.8275675773620605,4.845316410064697,5.413475513458252
Secretory progenitor,235,4.875913,4.88830041885376,4.819674968719482,4.974604606628418,5.662098407745361
Goblet,1631,5.484697,5.483980178833008,5.45154333114624,5.519712448120117,5.938671588897705
BEST4+ epithelial,469,5.569819,5.574489116668701,5.507490634918213,5.647848129272461,6.24492073059082
Colonocyte,13332,5.797018,5.797512054443359,5.779768466949463,5.815300464630127,6.421844482421875
