Donor_ID,n_total,n_lost,pct_lost
BRC2026,50,15,30.0
BRC2029,14,5,35.714285714285715
BRC2043,732,80,10.92896174863388
BRC2046,226,88,38.93805309734513
BRC2049,117,35,29.914529914529915
BRC2119,238,109,45.79831932773109
BRC2121,491,270,54.989816700610994
BRC2133,290,179,61.724137931034484
BRC2134,270,270,100.0
BRC2258,914,914,100.0
BRC2259,144,144,100.0
F66,480,35,7.291666666666667
F67,90,2,2.2222222222222223
F72,2111,2099,99.43154902889626
F73,1183,1178,99.57734573119188
F78,467,466,99.78586723768737
